Class,Name,Item type,Secondary Skill,Set,Set Skills,DPS,Damage range,Attack speed
All,Butcher's Carver,Legendary Two-Handed Axe, The Butcher still inhabits his carver.,None,None,94,85-103 Damage,1.00 Attacks per Second
All,Born's Searing Spite,Set Sword,None,Born's Defiance,(2) Set:   +2% Life  +20% Experience. (2.0% at level 70),24.5,11-24 Damage,1.40 Attacks per Second
All,Sword of Mediocrity,Legendary Sword, Your primary attributes are reduced to zero.,None,None,100,100-100 Damage,1.00 Attacks per Second
Demon Hunter,Sword of Ill Will,Legendary Sword, Chakram deals 1.4% increased damage for every point of Hatred you have.,None,None,392,168-392 Damage,1.40 Attacks per Second
All,Born's Furious Wrath,Set Sword,None,Born's Command,(2) Set:   +15% Life(3) Set:   Reduces cooldown of all skills by 10.0%.  +20% Experience. (2.0% at level 70),392,168-392 Damage,1.40 Attacks per Second
Wizard,Deathwish,Legendary Sword," While channeling Arcane Torrent, Disintegrate, or Ray of Frost for at least 1 second, all damage is increased by 294%.",None,None,392,168-392 Damage,1.40 Attacks per Second
All,Shard of Hate,Legendary Sword," Elemental skills have a chance to trigger a powerful attack that deals 229% weapon damage:
 Cold skills trigger Freezing Skull
 Poison skills trigger Poison Nova
 Lightning skills trigger Charged Bolt",None,None,392,168-392 Damage,1.40 Attacks per Second
All,The Twisted Sword,Legendary Sword, Energy Twister damage is increased by 145% for each Energy Twister you have out up to a maximum of 5. The Raging Storm rune is automatically applied to Energy Twister and allows the tornado to merge with 3 additional Energy Twisters.,None,None,392,168-392 Damage,1.40 Attacks per Second
All,Arthef's Spark of Life,Legendary Two-Handed Mace, Heal for 3% of your missing Life when you kill an Undead enemy.,None,None,15.8,17-18 Damage,0.90 Attacks per Second
All,The Three Hundredth Spear,Legendary Spear, Increase the damage of Weapon Throw and Ancient Spear by 179%. The attack speed of Weapon Throw is increased by 200%,None,None,84.6,57-84 Damage,1.20 Attacks per Second
All,The Three Hundredth Spear,Legendary Spear, Increase the damage of Weapon Throw and Ancient Spear by 57%.,None,None,84.6,57-84 Damage,1.20 Attacks per Second
Barbarian,Immortal King's Boulder Breaker,Set Two-Handed Mighty Weapon,None,Immortal King's Call,"(2) Set:   Call of the Ancients last until they die.(4) Set:   Reduce the cooldown of Wrath of the Berserker and Call of the Ancients by 3 seconds for every 10 Fury you spend with an attack.(6) Set:   While both Wrath of the Berserker and Call of the Ancients is active, you deal 4000% increased damage.","1,030.00",982-1078 Damage,1.00 Attacks per Second
