Class,Skill Name,Skill Description,Rune 1 Name,Rune 1 Description,Rune 2 Name,Rune 2 Description,Rune 3 Name,Rune 3 Description,Rune 4 Name,Rune 4 Description,Rune 5 Name,Rune 5 Description

Barbarian,Earthquake,"Cost: 25 Fury - Cooldown: 60 seconds - Shake the ground violently, dealing 4800% weapon damage as Fire over 8 seconds to all enemies within 18 yards.",Giant's Stride,20 secondary tremors follow your movement and deal 300% weapon damage as Fire each.,Chilling Earth,"Create an icy patch, causing Earthquake to Freeze all enemies hit and deal Cold damage.",The Mountain's Call,Remove the Fury cost and reduce the cooldown to 30 seconds.Earthquake's damage turns into Lightning.,Molten Fury,Increase Earthquake's damage to 6000% weapon damage as Fire.,Cave-In,All enemies within 24 yards are pulled in towards you.Earthquake's damage turns into Physical.

Barbarian,Cleave,Generate: 6 Fury per attack - Swing your weapon in a wide arc to deal 200% weapon damage to all enemies caught in the swing.,Rupture,"Enemies slain by Cleave explode, causing 160% weapon damage as Fire to all other enemies within 8 yards.",Reaping Swing,Generate 1 additional Fury per enemy hit.Cleave's damage turns into Fire.,Scattering Blast,"On Critical Hits, knock enemies up into the air and deal 80% weapon damage to enemies where they land.",Broad Sweep,Swing at all enemies around you and increase damage to 235% weapon damage as Lightning.,Gathering Storm,Enemies cleaved are Chilled and take 10% increased damage from all sources for 3 seconds.Cleave's damage turns into Cold.

Barbarian,Rend,Cost: 20 Fury - A sweeping strike causes all enemies within 12 yards to Bleed for 1100% weapon damage as Physical over 5 seconds.,Ravage,Increase the range of Rend to hit all enemies within 18 yards.Rend's damage turns into Fire.,Blood Lust,Heal for 0.5% of your maximum Life per second for each affected enemy.,Lacerate,Increase damage to 1350% weapon damage as Lightning over 5 seconds.,Mutilate,Affected enemies are Chilled and take 10% increased damage from all sources.Rend's damage turns into Cold.,Bloodbath,Enemies killed while bleeding cause all enemies within 10 yards to begin bleeding for 1100% weapon damage as Physical over 5 seconds.

Barbarian,Furious Charge,Cost: 1 Charge - Generate: 15 Fury - Rush forward knocking back and dealing 600% weapon damage to enemies along your path. - You gain a charge every 10 seconds and can have up to 1 charge stored at a time.,Battering Ram,Increase the damage to 1050% weapon damage as Fire.,Merciless Assault,Recharge time is reduced by 2 seconds for every enemy hit. This effect can reduce the recharge time by up to 10 seconds.,Stamina,Generate 10 additional Fury for each enemy hit while charging.,Cold Rush,All enemies hit are Frozen for 2.5 seconds.Furious Charge's damage turns into Cold.,Dreadnought,Store up to 3 charges of Furious Charge.Furious Charge's damage turns into Lightning.

Barbarian,Ground Stomp,"Generate: 15 Fury - Cooldown: 12 seconds - Smash the ground, stunning all enemies within 14 yards for 4 seconds.",Deafening Crash,Reduce the cooldown of Ground Stomp to 8 seconds.Enemies in the area have their movement speed slowed by 80% for 8 seconds after they recover from being stunned.,Wrenching Smash,Increase the area of effect to 24 yards. Enemies are pulled closer before the strike lands.,Trembling Stomp,Enemies in the area also take 575% weapon damage as Fire.,Foot of the Mountain,Increase Fury generated to 30.,Jarring Slam,Enemies hit have a chance to drop a health globe.

Barbarian,Battle Rage,Cost: 20 Fury - Enter a rage which increases your damage by 10% and Critical Hit Chance by 3%. Lasts 120 seconds.,Marauder's Rage,Increase damage bonus to 15%.,Ferocity,Increase movement speed by 15%.,Swords to Ploughshares,"Critical Hits heal you and your pets for up to 21,457 Life.",Into the Fray,Gain 1% Critical Hit Chance for each enemy within 10 yards while under the effects of Battle Rage.,Bloodshed,Deal damage equal to 20% of your recent Critical Hits to enemies within 20 yards every 1 second.

Barbarian,Whirlwind,"Cost: 10 Fury - Deliver multiple attacks to everything in your path for 340% weapon damage. - While whirlwinding, you move at 100% movement speed.",Dust Devils,Generate harsh tornadoes that deal 180% weapon damage to enemies in their path.,Hurricane,Pull enemies from up to 35 yards away towards you while whirlwinding.Whirlwind's damage turns into Cold.,Blood Funnel,Critical Hits restore 1% of your maximum Life.,Wind Shear,Gain 1 Fury for every enemy struck.Whirlwind's damage turns into Lightning.,Volcanic Eruption,Turns Whirlwind into a torrent of magma that deals 400% weapon damage as Fire.

Barbarian,War Cry,Generate: 20 Fury - Cooldown: 20 seconds - Unleash a rallying cry to increase Armor for you and all allies within 100 yards by 20% for 120 seconds.,Hardened Wrath,"For the first 5 seconds, gain an additional 60% increased Armor.",Charge!,Increase Fury generated to 50.,Invigorate,"Increase maximum Life by 10% and Life regeneration by 13,411 per second while affected by War Cry.",Veteran's Warning,Increase Dodge Chance by 30% while affected by War Cry.,Impunity,Increase resistance to all elements by 20% while affected by War Cry.

Barbarian,Bash,Generate: 6 Fury per attack - Brutally smash an enemy for 320% weapon damage.,Frostbite,Each hit Freezes the enemy for 1.5 seconds.Enemies can be frozen by Bash once every 5 seconds.,Onslaught,The enemy has a 10% increased chance to be Critically Hit for 3 seconds.Bash's damage turns into Lightning.,Punish,Increase your damage by 4% for 5 seconds after using Bash. This effect stacks up to 3 times.,Instigation,Increase Fury generated to 9.Bash's damage turns into Fire.,Pulverize,Each hit causes a shockwave that deals 100% weapon damage as Fire to enemies in a 26 yard line behind the primary enemy.

Barbarian,Overpower,Cooldown: 12 seconds - Deal 380% weapon damage to all enemies within 9 yards. - Critical Hits have a chance to reduce the cooldown of Overpower by 1 second.,Storm of Steel,Throw up to 3 axes at nearby enemies that each deal 380% weapon damage.,Killing Spree,Your Critical Hit Chance is increased by 8% for 5 seconds.Overpower's damage turns into Lightning.,Crushing Advance,Redirect 35% of incoming melee damage back to the attacker for 5 seconds after Overpower is activated.,Momentum,Generate 5 Fury for each enemy hit by Overpower.,Revel,Increase damage to 760% weapon damage as Fire.

Barbarian,Revenge,Cost: 1 charge - Deal 300% weapon damage to all nearby enemies. You heal 4% of your maximum Life for each enemy hit. - Revenge has a 15% chance to gain a charge each time you are hit. Maximum 2 charges.,Blood Law,Increase healing to 6% of maximum Life for each enemy hit.,Best Served Cold,Increase your Critical Hit Chance by 8% for 6 seconds after using Revenge.Revenge's damage turns into Cold.,Retribution,Increase damage to 700% weapon damage as Fire.,Grudge,Knockback enemies 24 yards when using Revenge.Revenge's damage turns into Lightning.,Provocation,Increase the maximum number of charges to 3.

Barbarian,Wrath of the Berserker,Cooldown: 120 seconds - Enter a berserker rage which raises several attributes for 20 seconds. -  Critical Hit Chance: 10% Attack Speed: 25% Dodge Chance: 20% Movement Speed: 20%,Arreat's Wail,Activating Wrath of the Berserker deals 3400% weapon damage as Fire to all enemies within 15 yards.,Insanity,"While active, gain 50% increased damage.",Slaughter,"While active, Critical Hits have a chance to cause an eruption of blood dealing 300% weapon damage to enemies within 15 yards.",Striding Giant,Reduce all damage taken by 50%.,Thrive on Chaos,"While active, gain 5364 Life per Fury spent."

Barbarian,Leap,"Generate: 15 Fury - Cooldown: 10 seconds - Leap into the air, dealing 180% weapon damage to all enemies within 10 yards of your destination and slowing their movement speed by 60% for 3 seconds.",Iron Impact,Gain 150% additional Armor for 4 seconds after landing.,Launch,You leap with such great force that enemies within 10 yards of the takeoff point take 180% weapon damage and are also slowed by 60% for 3 seconds.,Toppling Impact,Increase the damage of Leap to 450% and send enemies hurtling away from where you land.,Call of Arreat,Shockwaves burst forth from the ground increasing the radius of effect to 16 yards and pulling affected enemies towards you.,Death from Above,Land with such force that enemies have a 100% chance to be stunned for 3 seconds.

Barbarian,Sprint,Cost: 20 Fury - Increase movement speed by 30% for 3 seconds.,Rush,Increase Dodge Chance by 12% while sprinting.,Run Like the Wind,"Tornadoes rage in your wake, each dealing 60% weapon damage as Physical for 3 seconds to nearby enemies.",Marathon,Increase the movement speed bonus to 40% for 4 seconds.,Gangway,"Slams through enemies, knocking them back and dealing 25% weapon damage.",Forced March,Increase movement speed of allies within 50 yards by 20% for 3 seconds.

Barbarian,Hammer of the Ancients,Cost: 20 Fury - Call forth a massive hammer to smash enemies directly in front of you for 535% weapon damage. Hammer of the Ancients has a 1% increased Critical Hit Chance for every 5 Fury that you have.,Rolling Thunder,Create a shockwave that deals 505% weapon damage to all enemies within 22 yards in front of you.,Smash,Smash for 640% weapon damage as Fire.,The Devil's Anvil,Each hit creates a tremor at the point of impact for 2 seconds that Chills enemies by 80%.Hammer of the Ancients's damage turns into Cold.,Thunderstrike,"When you kill an enemy with Hammer of the Ancients, other enemies within 10 yards are Stunned for 2 seconds.Hammer of the Ancients turns into Lightning damage.",Birthright,Critical Hits heal you for 3% of your maximum Life.

Barbarian,Ignore Pain,Cooldown: 30 seconds - Reduce all damage taken by 50% and gain Immunity to all control-impairing effects for 5 seconds.,Bravado,"While Ignore Pain is active, gain 40% increased movement speed and knock enemies away as you run.",Iron Hide,Increase duration to 7 seconds.,Ignorance is Bliss,"While Ignore Pain is active, gain 5364 Life per Fury spent.",Mob Rule,Allies within 50 yards also gain 25% damage reduction and Immunity to control-impairing effects for 5 seconds.,Contempt for Weakness,Instantly heal for 35% of maximum Life when activating Ignore Pain.

Barbarian,Ancient Spear,Cost: 25 Fury - Throw a spear that pierces enemies and deals 500% weapon damage.,Ranseur,Enemies hit are knocked back 5 yards.,Harpoon,Add a chain to the spear to drag all enemies hit back to you and Slow them by 60% for 1 second.,Jagged Edge,Increase the damage to 640% weapon damage as Fire.,Boulder Toss,Expend all remaining Fury to deal 20% weapon damage for every point of Fury expended to enemies within 9 yards of the impact location.,Rage Flip,Add a chain to the spear to throw all enemies hit behind you and Slow them by 60% for 1 second.

Barbarian,Frenzy,Generate: 4 Fury per attack - Swing for 220% weapon damage. Frenzy's attack speed increases by 15% for 4 seconds with each swing. This effect stacks up to 5 times.,Sidearm,Each strike has a 25% chance to throw a piercing axe at a nearby enemy that deals 300% weapon damage as Cold to all enemies in its path.Frenzy's damage turns into Cold.,Berserk,Increase Fury generated to 6.Frenzy's damage turns into Cold.,Vanguard,Gain 5% movement speed for each stack of Frenzy.,Smite,"Each hit has a 30% chance to call down a bolt of lightning from above, stunning the enemy for 1.5 seconds.",Maniac,Each Frenzy effect also increases your damage by 2.5%.Frenzy's damage turns into Fire.

Crusader,Slash,"Generate: 5 Wrath per attack - Ignite the air in front of you, dealing 230% weapon damage as Fire.",Electrify,The slash becomes pure lightning and has a 25% chance to stun enemies for 2 seconds.,Carve,"Carve a larger area in front of you, increasing the number of enemies hit.",Crush,Slash gains 20% increased Critical Hit Chance.,Zeal,Gain 1% increased Attack Speed for every enemy hit for 3 seconds. This effect stacks up to 10 times.,Guard,Gain 5% increased armor for each enemy hit. This effect stacks up to 5 times.

Crusader,Consecration,"Cooldown: 30 seconds - Consecrate the ground 20 yards around you for 10 seconds. You and your allies heal for 32,185 Life per second while standing on the consecrated ground.",Bathed in Light,"Increase the radius of the consecrated ground to 24 yards and increase the amount you and your allies heal for to 48,278 Life per second.",Bed of Nails,The consecrated ground becomes covered in nails. Enemies that walk into the area take 100% of your Thorns damage every second.,Aegis Purgatory,"The edge of the consecrated ground is surrounded by a sacred shield, preventing enemies from moving through it.The duration of the consecration is reduced to 5 seconds.",Shattered Ground,Enemies standing on consecrated ground take 155% weapon damage as Fire per second.,Fearful,Enemies standing on consecrated ground have a 100% chance to be Feared for 3 seconds.

Crusader,Fist of the Heavens,"Cost: 30 Wrath - Call forth a pillar of lightning from the heavens that explodes, dealing 545% weapon damage as Lightning to any enemy within 8 yards. The explosion creates 6 piercing charged bolts that arc outward and deal 255% weapon damage as Lightning.",Divine Well,"The holy bolts crackle with holy lightning and zap enemies within 18 yards as they travel, dealing 40% weapon damage as Holy.",Heaven's Tempest,"Summon a fiery storm that covers a 8 yard radius for 5 seconds, dealing 100% weapon damage as Fire every second to enemies who pass underneath it.",Fissure,"Creates a fissure of lightning energy that deals 410% weapon damage as Lightning over 5 seconds to nearby enemies. If there is another fissure nearby, lightning will arc between them dealing an additional 135% weapon damage as Lightning with each arc.",Reverberation,"The bolt detonates with a shockwave on impact, causing all enemies hit to be knocked away from the blast and Slowed by 80% for 4 seconds.",Retribution,"Hurl a fist of Holy power that pierces through your enemies, dealing 270% weapon damage as Holy, and exploding at your target, dealing 435% weapon damage as Holy to enemies within 8 yards.The explosion creates 6 piercing charged bolts that crawl outward, dealing 185% weapon damage as Holy to enemies through whom they pass."

Crusader,Shield Glare,"Cooldown: 12 seconds - Light erupts from your shield, Blinding all enemies up to 30 yards in front of you for 4 seconds. - Requires Shield",Divine Verdict,Blinded enemies take 20% more damage for 4 seconds.,Uncertainty,Enemies caught in the glare have a 50% chance to be charmed and fight for you for 8 seconds.,Zealous Glare,Gain 9 Wrath for each enemy Blinded.,Emblazoned Shield,"Enemies with health lower than 25% have a 50% chance to explode when Blinded, dealing 60% weapon damage to enemies within 8 yards.",Subdue,Enemies hit by the glare are Slowed by 80% for 6 seconds.

Crusader,Judgment,"Cooldown: 20 seconds - Pass judgment on all enemies within 20 yards of the targeted location, Immobilizing them in place for 6 seconds.",Penitence,"For every enemy upon whom you pass judgment, you heal for 2682 Life per second for 3 seconds.",Mass Verdict,All enemies are drawn toward the center of the judged area.,Deliberation,Increase the duration of the Immobilize to 10 seconds.,Resolved,Damage dealt to judged enemies has an 8% increased chance to be a Critical Hit.,Debilitate,Enemies in the judged area deal 40% reduced damage for 6 seconds.

Crusader,Punish,"Generate: 5 Wrath per attack - Strike your enemy for 335% weapon damage and gain Hardened Senses, increasing your Block Chance by 15% for 5 seconds. - Requires Shield",Roar,"When you block with Hardened Senses active, you explode with fury dealing 75% weapon damage as Fire to enemies within 15 yards.",Celerity,"When you block with Hardened Senses active, you gain 15% increased Attack Speed for 3 seconds.",Rebirth,"When you block with Hardened Senses active, you gain 12,874 increased Life regeneration for 2 seconds.",Retaliate,"When you block with Hardened Senses active, you deal 140% weapon damage as Holy to the attacker.",Fury,"When you block with Hardened Senses active, you gain 15% increased Critical Hit Chance for your next attack."

Crusader,Condemn,"Cooldown: 15 seconds - Build up a massive explosion, unleashing it after 3 seconds, dealing 1160% weapon damage as Holy to all enemies within 15 yards.",Vacuum,"As the explosion charges up, it sucks in enemies. The closer it is to exploding, the more enemies it sucks in.",Unleashed,The explosion now unleashes instantly.,Eternal Retaliation,Reduce the cooldown by 1 second for each enemy hit by the explosion.,Shattering Explosion,Increase the damage radius to 20 yards.,Reciprocate,50% of all damage taken while the explosion is building is added to the damage of the explosion.

Crusader,Phalanx,Cost: 30 Wrath - Summon powerful avatars who charge forward to the targeted destination. Enemies caught in the charge path take 490% weapon damage.,Bowmen,"The summoned avatars no longer march forward, but will wield bows and attack enemies, dealing 185% weapon damage. These bowmen follow you as you move for 5 seconds.The Bowmen can only be summoned once every 15 seconds.",Shield Charge,"The summoned avatars charge the target and perform a shield bash, dealing an additional 180% weapon damage to enemies at that location.",Stampede,Summon warhorses that deal 490% weapon damage and have a 30% chance to Stun enemies for 2 seconds.,Shield Bearers,"The avatars no longer walk forward, but stand at the summoned location, blocking all enemies from moving through.The Avatars can only be summoned once every 15 seconds.",Bodyguard,"Instead of sending the avatars out away from you, you summon 2 Avatars of the Order to protect you and fight by your side for 10 seconds. Each Avatar will attack for 560% of your weapon damage as Physical.The Avatars can only be summoned once every 30 seconds."

Crusader,Provoke,Cooldown: 20 seconds - Generate: 30 Wrath - Taunt all nearby enemies and instantly generate an additional 5 Wrath for every enemy taunted. Taunted enemies will focus their attention on you for 4 seconds.,Cleanse,"For each enemy successfully taunted, you gain 1073 additional Life on Hit for 5 seconds.  ",Flee Fool,"Provoke no longer taunts, but instead causes enemies to flee in Fear for 8 seconds.",Too Scared to Run,Taunted enemies have their attack speed reduced by 50% and movement speed Slowed by 80% for 4 seconds.,Charged Up,"For 4 seconds after casting Provoke, any damage you deal will also deal 50% weapon damage as Lightning.",Hit Me,Gain 50% increased Block Chance for 4 seconds after casting Provoke.

Crusader,Blessed Hammer,"Cost: 10 Wrath - Summon a blessed hammer that spins around you, dealing 320% weapon damage as Holy to all enemies hit.",Burning Wrath,The hammer is engulfed in fire and has a 25% chance to scorch the ground over which it passes. Enemies who pass through the scorched ground take 330% weapon damage as Fire per second.,Thunderstruck,"The hammer is charged with lightning that occasionally arcs between you and the hammer as it spirals through the air, dealing 60% weapon damage as Lightning to enemies caught in the arcs. ",Limitless,Increase the damage of Blessed Hammer to 640% weapon damage as Holy and increase its area of effect by 20 yards.,Brute Force,"The hammer Slows enemies it passes through and has a 35% chance to explode on impact, dealing 460% weapon damage as Physical and Stunning enemies within 6 yards for 1 second.",Dominion,The Hammer now orbits you as you move.

Crusader,Sweep Attack,"Cost: 20 Wrath - Sweep a mystical flail through enemies up to 18 yards before you, dealing 480% weapon damage. - Requires Weapon",Blazing Sweep,Enemies hit by the attack will catch on fire for 120% weapon damage over 2 seconds.,Trip Attack,Enemies hit by the sweep attack have a 50% chance to be tripped and Stunned for 2 seconds.,Holy Shock,Heal for 5364 Life for each enemy hit.,Gathering Sweep,Enemies caught in the sweep are pulled toward you.Sweep Attack's damage turns into Holy.,Inspiring Sweep,Sweep Attack increases your Armor by 20% for 3 seconds.

Crusader,Smite,Generate: 5 Wrath per attack - Smite enemies up to 30 yards away with holy chains that deal 175% weapon damage as Holy. The chains break off and strike up to 3 additional enemies within 20 yards for 150% weapon damage as Holy.,Shatter,The holy chains explode dealing 60% weapon damage as Holy to enemies within 3 yards.,Shackle,Enemies hit by the chains have a 20% chance to be Immobilized in place for 1 second.,Surge,Increase the number of additional enemies hit to 5.,Reaping,Gain 6437 increased Life regeneration for 2 seconds for every enemy hit by the chains. This effect stacks up to 4 times.,Shared Fate,"The chains bind those they hit, causing them to share one another's fate. Enemies who share fate will be stunned for 2 seconds if they move 15 yards away from each other."

Crusader,Laws of Valor,"Cooldown: 30 seconds - Active: Empower the Law, granting you and your allies 15% increased Attack Speed for 5 seconds. - Passive: Recite the Law, granting you and your allies 8% increased Attack Speed. - Only one Law may be active at a time.",Invincible,"Active: Empowering the Law also increases your Life on Hit by 21,457.",Frozen in Terror,Active: Empowering the Law also grants you a 100% chance to Stun all enemies within 10 yards for 5 seconds.,Critical,Active: Empowering the Law also increases your Critical Hit Damage by 50%.,Unstoppable Force,Active: Empowering the law also reduces the Wrath cost of all skills by 50% for 5 seconds.,Answered Prayer,"Active: While the Law is empowered, each enemy killed increases the duration by 1 second, up to a maximum of 10 seconds of increased time."

Crusader,Laws of Justice,"Cooldown: 30 seconds - Active: Empower the Law, granting you and your allies 490 increased resistance to all elements for 5 seconds. - Passive: Recite the Law, granting you and your allies 140 increased resistance to all elements. - Only one Law may be active at a time.",Protect the Innocent,Active: Empowering the Law also redirects 20% of the damage taken by your allies to you for the next 5 seconds.,Immovable Object,Active: Empowering the Law also increases Armor for you and your allies by 7000 for 5 seconds.,Faith's Armor,"Active: Empowering the Law also surrounds you and your allies with shields of faith for 5 seconds. The shields absorb up to 26,821 damage.",Decaying Strength,"Active: While the Law is empowered, any enemy who attacks you or your allies will have their damage reduced by 15% for 5 seconds, stacking up to a maximum of 60%.",Bravery,Active: Empowering the Law also grants immunity to control impairing effects to you and your allies for 5 seconds.

Crusader,Bombardment,"Cooldown: 60 seconds - Call in an assault from afar, raining 5 spheres of burning pitch and stone onto enemies around you, dealing 2850% total weapon damage to enemies within 12 yards of the impact zone.",Barrels of Spikes,"In place of the burning spheres, barrels of spikes are hurled. Damage of each barrel is increased by 200% of your Thorns.",Annihilate,Each impact has a 100% Critical Hit Chance.,Mine Field,"Each impact scatters 2 mines onto the battlefield that explode when enemies walk near them, dealing 160% weapon damage as Fire to all enemies within 10 yards.",Impactful Bombardment,"A single, much larger ball of explosive pitch is hurled at the targeted location dealing 3320% weapon damage to all enemies within 18 yards.",Targeted,"Instead of randomly finding targets nearby, the bombardment will continue to fall on your initial target."

Crusader,Akarat's Champion,"Cooldown: 90 seconds - Explode with the power of your order, increasing your damage by 35% and increasing your Wrath regeneration by 5 for 20 seconds.",Fire Starter,"Dealing damage burns enemies with the power of Akarat, dealing 460% weapon damage as Fire over 3 seconds.",Embodiment of Power,Increases the bonus Wrath regeneration from Akarat's Champion to 10.,Rally,Using Akarat's Champion reduces the remaining cooldown of your other abilities by 12 seconds.,Prophet,"Gain 150% additional Armor while Akarat's Champion is active.The first time you take fatal damage while Akarat's Champion is active, you will be returned to full health.",Hasteful,Gain 15% increased attack speed while Akarat's Champion is active.

Crusader,Justice,"Generate: 5 Wrath per attack - Hurl a hammer of justice at your enemies, dealing 245% weapon damage.",Burst,"The hammer is charged with lightning and explodes on impact, dealing 60% weapon damage as Lightning to all enemies within 10 yards. Enemies caught in the explosion have a 20% chance to be stunned for 1 second.",Crack,"When the hammer hits an enemy, there is an 100% chance it will crack into 2 smaller hammers that fly out and deal 245% weapon damage as Holy.",Hammer of Pursuit,The hammer seeks out nearby targets and deal 335% weapon damage.,Sword of Justice,"Hurl a sword of justice at your enemies. When the sword hits an enemy, gain 5% increased movement speed for 3 seconds. This effect stacks up to 3 times.",Holy Bolt,Throw a bolt of holy power that heals you and your allies for 2146 - 3219 Life when it hits an enemy.

Crusader,Blessed Shield,"Cost: 20 Wrath - Hurl your shield, dealing 430% weapon damage as Holy plus 250% of shield Block Chance as Holy damage. The shield will ricochet to 3 nearby enemies. - Requires Shield",Staggering Shield,The shield becomes charged with lightning and has a 25% chance to Stun the first enemy hit for 2 seconds. Each enemy hit after the first has a 5% reduced chance to be Stunned.,Combust,"The shield erupts in flames and has a 33% chance to explode on impact, dealing 310% weapon damage as Fire to all enemies within 10 yards.",Divine Aegis,"When the shield hits an enemy, your Armor is increased by 5% and Life regeneration is increased by 5% for 4 seconds.",Shattering Throw,"When the shield hits an enemy, it splits into 3 small fragments that bounce between nearby enemies, dealing 170% weapon damage as Holy to all enemies hit.",Piercing Shield,"The shield no longer bounces, but pierces through all enemies with a 50% chance to knock them aside."

Crusader,Iron Skin,"Cooldown: 30 seconds - Your skin turns to iron, absorbing 50% of all incoming damage for 4 seconds.",Reflective Skin,"While active, your Thorns is increased by 300%.",Steel Skin,Increase the duration to 7 seconds.,Explosive Skin,"When Iron Skin expires the metal explodes off, dealing 1400% weapon damage to enemies within 12 yards.",Charged Up,"Your metal skin is electrified, giving you a 20% chance to Stun enemies within 10 yards for 2 seconds.",Flash,"If you take damage while Iron Skin is active, your movement speed is increased by 60% for 5 seconds and you can move through enemies unhindered."

Crusader,Laws of Hope,"Cooldown: 30 seconds - Active: Empower the Law, surrounding you and your allies in a shield for 5 seconds that absorbs up to 124,128 damage. - Passive: Recite the Law, healing you and your allies for 10,728 Life per second. - Only one Law may be active at a time.",Wings of Angels,"Active: Empowering the Law also increases movement speed for you and your allies by 50%, and allows everyone affected to run through enemies unimpeded.",Eternal Hope,Active: Empowering the Law also increases the maximum Life of you and your allies by 10%.,Hopeful Cry,Active: Empowering the Law also reduces all Physical damage taken by 25%.,Faith's Reward,Active: Empowering the Law also heals you and your allies for 1073 Life for every point of Wrath that you spend. ,Promise of Faith,Active: Empowering the Law also reduces all non-Physical damage taken by 25%.

Crusader,Heaven's Fury,Cooldown: 20 seconds - Call down a furious ray of Holy power that deals 1710% weapon damage as Holy over 6 seconds to all enemies caught within it.,Blessed Ground,"The ground touched by the ray becomes blessed, scorching it and dealing 1550% weapon damage over 5 seconds to enemies who walks through.",Ascendancy,"The ray of Holy power grows to encompass 12 yards, dealing 2766% weapon damage as Holy over 6 seconds to enemies caught within it.",Split Fury,"The ray splits into 3 smaller beams, each dealing 1980% weapon damage as Holy over 6 seconds.",Thou Shalt Not Pass,"Ground touched by the ray pulses with power for 6 seconds, stopping enemies who try to pass over it.",Fires of Heaven,"Call down a furious ray of Holy power that is focused through you in a beam across the battlefield, dealing 960% weapon damage as Holy to all enemies it hits.The cooldown is removed. Now costs 40 Wrath."

Crusader,Falling Sword,"Cost: 25 Wrath - Cooldown: 30 seconds - Launch yourself into the heavens and come crashing down on your enemies, dealing 1700% weapon damage to everything within 14 yards of where you land. - This ability does not start its cooldown until after its effects expire.",Superheated,"The ground you fall on becomes superheated for 6 seconds, dealing 310% weapon damage as Fire per second to all enemies who pass over it.",Part the Clouds,"You build a storm of lightning as you fall which covers the area you land on for 5 seconds. Lightning strikes random enemies under the cloud, dealing 605% weapon damage as Lightning and Stunning them for 2 seconds.",Rise Brothers,You land with such force that 3 Avatars of the Order are summoned forth to fight by your side for 5 seconds. Each Avatar attacks for 280% of your weapon damage as Physical.,Rapid Descent,Reduce the cooldown by 1 second for each enemy hit by Falling Sword.  The cooldown cannot be reduced below 10 seconds.,Flurry,"A flurry of swords is summoned at the impact location, dealing 230% weapon damage as Holy, hurling enemies around and incapacitating them for 5 seconds."

